IliadZone,Folio,ImageRoI,Notes
"urn:cite:hmt:textblock.58",urn:cite:hmt:msA.40r,"urn:cite:hmt:vaimg.VA040RN-0041@0.1291,0.2314,0.4194,0.4876",
"urn:cite:hmt:textblock.59",urn:cite:hmt:msA.40v,"urn:cite:hmt:vaimg.VA040VN-0542@0.4925,0.2359,0.4084,0.4726",
"urn:cite:hmt:textblock.60",urn:cite:hmt:msA.41r,"urn:cite:hmt:vaimg.VA041RN-0042@0.1271,0.2585,0.4454,0.45",
"urn:cite:hmt:textblock.61",urn:cite:hmt:msA.41v,"urn:cite:hmt:vaimg.VA041VN-0543@0.4705,0.2389,0.4114,0.2344",
urn:cite:hmt:textblock.62,urn:cite:hmt:msA.42r,"urn:cite:hmt:vaimg.VA042RN-0043@0.1151,0.2119,0.4284,0.4981",
urn:cite:hmt:textblock.63,urn:cite:hmt:msA.42v,"urn:cite:hmt:vaimg.VA042VN-0544@0.4685,0.2464,0.4284,0.4733",
urn:cite:hmt:textblock.64,urn:cite:hmt:msA.43r,"urn:cite:hmt:vaimg.VA043RN-0044@0.1361,0.2292,0.4314,0.4869",
urn:cite:hmt:textblock.65,urn:cite:hmt:msA.43v,"urn:cite:hmt:vaimg.VA043VN-0545@0.4935,0.2389,0.4204,0.4658",
"urn:cite:hmt:textblock.65",urn:cite:hmt:msA.43v,"urn:cite:hmt:vaimg.VA069RN-0070@0.1702,0.2216,0.3694,0.456","Replacement page Speech outdented, not underlined"
"urn:cite:hmt:textblock.66",urn:cite:hmt:msA.44r,"urn:cite:hmt:vaimg.VA044RN-0045@0.1341,0.2126,0.4434,0.4808",
"urn:cite:hmt:textblock.67",urn:cite:hmt:msA.44v,"urn:cite:hmt:vaimg.VA044VN-0546@0.4875,0.2261,0.4074,0.4651",
"urn:cite:hmt:textblock.68",urn:cite:hmt:msA.45r,"urn:cite:hmt:vaimg.VA045RN-0046@0.1451,0.2209,0.4244,0.4846",
"urn:cite:hmt:textblock.69",urn:cite:hmt:msA.45v,"urn:cite:hmt:vaimg.VA045VN-0547@0.4805,0.2307,0.4114,0.4771",
"urn:cite:hmt:textblock.70",urn:cite:hmt:msA.46r,"urn:cite:hmt:vaimg.VA046RN-0047@0.1431,0.2231,0.4284,0.4763",
"urn:cite:hmt:textblock.71",urn:cite:hmt:msA.46v,"urn:cite:hmt:vaimg.VA046VN-0548@0.4895,0.2389,0.4054,0.4681",
"urn:cite:hmt:textblock.72",urn:cite:hmt:msA.47r,"urn:cite:hmt:vaimg.VA047RN-0048@0.1271,0.2269,0.4324,0.4846",
"urn:cite:hmt:textblock.73",urn:cite:hmt:msA.47v,"urn:cite:hmt:vaimg.VA047VN-0549@0.4875,0.223,0.4184,0.5015",
"urn:cite:hmt:textblock.74",urn:cite:hmt:msA.48r,"urn:cite:hmt:vaimg.VA048RN-0049@0.1231,0.2307,0.4104,0.4793",
"urn:cite:hmt:textblock.75",urn:cite:hmt:msA.48v,"urn:cite:hmt:vaimg.VA048VN-0550@0.4745,0.2299,0.4344,0.4831",
"urn:cite:hmt:textblock.76",urn:cite:hmt:msA.49r,"urn:cite:hmt:vaimg.VA049RN-0050@0.1572,0.2329,0.4344,0.4801",
"urn:cite:hmt:textblock.77",urn:cite:hmt:msA.49v,"urn:cite:hmt:vaimg.VA049VN-0551@0.4745,0.2404,0.4384,0.4793",
"urn:cite:hmt:textblock.78",urn:cite:hmt:msA.50r,"urn:cite:hmt:vaimg.VA050RN-0051@0.1491,0.2216,0.4164,0.4771",
"urn:cite:hmt:textblock.79",urn:cite:hmt:msA.50v,"urn:cite:hmt:vaimg.VA050VN-0552@0.4835,0.2292,0.4304,0.4718",
"urn:cite:hmt:textblock.80",urn:cite:hmt:msA.51r,"urn:cite:hmt:vaimg.VA051RN-0052@0.1451,0.2149,0.4204,0.4808",Book delta begins
"urn:cite:hmt:textblock.81",urn:cite:hmt:msA.51v,"urn:cite:hmt:vaimg.VA051VN-0553@0.4865,0.2254,0.4244,0.4771",
"urn:cite:hmt:textblock.82",urn:cite:hmt:msA.52r,"urn:cite:hmt:vaimg.VA052RN-0053@0.1441,0.2186,0.4314,0.4778",
"urn:cite:hmt:textblock.83",urn:cite:hmt:msA.52v,"urn:cite:hmt:vaimg.VA052VN-0554@0.4925,0.2269,0.4194,0.4733",
"urn:cite:hmt:textblock.84",urn:cite:hmt:msA.53r,"urn:cite:hmt:vaimg.VA053RN-0054@0.1522,0.2337,0.4254,0.4741",
"urn:cite:hmt:textblock.85",urn:cite:hmt:msA.53v,"urn:cite:hmt:vaimg.VA053VN-0555@0.4765,0.2276,0.4344,0.4831",
"urn:cite:hmt:textblock.86",urn:cite:hmt:msA.54r,"urn:cite:hmt:vaimg.VA054RN-0055@0.1782,0.2179,0.4054,0.4831",
"urn:cite:hmt:textblock.87",urn:cite:hmt:msA.54v,"urn:cite:hmt:vaimg.VA054VN-0556@0.4685,0.2246,0.4264,0.4793",
"urn:cite:hmt:textblock.88",urn:cite:hmt:msA.55r,"urn:cite:hmt:vaimg.VA055RN-0056@0.1502,0.2164,0.4304,0.4891",
"urn:cite:hmt:textblock.89",urn:cite:hmt:msA.56r,"urn:cite:hmt:vaimg.VA056RN-0057@0.1792,0.2111,0.4334,0.4801",
"urn:cite:hmt:textblock.90",urn:cite:hmt:msA.56v,"urn:cite:hmt:vaimg.VA056VN-0558@0.4815,0.2156,0.4264,0.4853",
"urn:cite:hmt:textblock.91",urn:cite:hmt:msA.57r,"urn:cite:hmt:vaimg.VA057RN-0058@0.1832,0.2119,0.4384,0.4891",
"urn:cite:hmt:textblock.92",urn:cite:hmt:msA.57v,"urn:cite:hmt:vaimg.VA057VN-0559@0.4685,0.2254,0.4434,0.4778",
"urn:cite:hmt:textblock.93",urn:cite:hmt:msA.58r,"urn:cite:hmt:vaimg.VA058RN-0059@0.1652,0.2186,0.4434,0.4748",
"urn:cite:hmt:textblock.94",urn:cite:hmt:msA.58v,"urn:cite:hmt:vaimg.VA058VN-0560@0.4885,0.2276,0.4294,0.4658",
"urn:cite:hmt:textblock.95",urn:cite:hmt:msA.59r,"urn:cite:hmt:vaimg.VA059RN-0060@0.1882,0.2126,0.4384,0.4876",
"urn:cite:hmt:textblock.96",urn:cite:hmt:msA.59v,"urn:cite:hmt:vaimg.VA059VN-0561@0.4655,0.2292,0.4374,0.4718",
"urn:cite:hmt:textblock.97",urn:cite:hmt:msA.60r,"urn:cite:hmt:vaimg.VA060RN-0061@0.1802,0.2269,0.4505,0.4726",
"urn:cite:hmt:textblock.98",urn:cite:hmt:msA.60v,"urn:cite:hmt:vaimg.VA060VN-0562@0.4665,0.2186,0.4314,0.4891",
"urn:cite:hmt:textblock.99",urn:cite:hmt:msA.61r,"urn:cite:hmt:vaimg.VA061RN-0062@0.1772,0.2337,0.4645,0.4989",
"urn:cite:hmt:textblock.100",urn:cite:hmt:msA.61v,"urn:cite:hmt:vaimg.VA061VN-0563@0.4585,0.2367,0.4374,0.4733",
"urn:cite:hmt:textblock.101",urn:cite:hmt:msA.62r,"urn:cite:hmt:vaimg.VA062RN-0063@0.1732,0.2246,0.4424,0.4846",Book epsilon begins
"urn:cite:hmt:textblock.102",urn:cite:hmt:msA.62v,"urn:cite:hmt:vaimg.VA062VN-0564@0.4635,0.2261,0.4575,0.4838",
"urn:cite:hmt:textblock.103",urn:cite:hmt:msA.63r,"urn:cite:hmt:vaimg.VA063RN-0064@0.1732,0.2141,0.4565,0.4823",
"urn:cite:hmt:textblock.104",urn:cite:hmt:msA.63v,"urn:cite:hmt:vaimg.VA063VN-0565@0.4424,0.2171,0.4655,0.4876",
"urn:cite:hmt:textblock.105",urn:cite:hmt:msA.64r,"urn:cite:hmt:vaimg.VA064RN-0065@0.1802,0.2224,0.4354,0.4853",
"urn:cite:hmt:textblock.106",urn:cite:hmt:msA.64v,"urn:cite:hmt:vaimg.VA064VN-0566@0.4505,0.2224,0.4685,0.4831",
"urn:cite:hmt:textblock.107",urn:cite:hmt:msA.65r,"urn:cite:hmt:vaimg.VA065RN-0066@0.1652,0.2186,0.4555,0.4959",
"urn:cite:hmt:textblock.108",urn:cite:hmt:msA.65v,"urn:cite:hmt:vaimg.VA065VN-0567@0.4765,0.2307,0.4374,0.4823",
"urn:cite:hmt:textblock.109",urn:cite:hmt:msA.66r,"urn:cite:hmt:vaimg.VA066RN-0067@0.1522,0.2194,0.4615,0.4929",
"urn:cite:hmt:textblock.110",urn:cite:hmt:msA.66v,"urn:cite:hmt:vaimg.VA066VN-0568@0.4565,0.2322,0.4725,0.4808",
"urn:cite:hmt:textblock.111",urn:cite:hmt:msA.67r,"urn:cite:hmt:vaimg.VA067RN-0068@0.1792,0.2239,0.4404,0.4921",
"urn:cite:hmt:textblock.112",urn:cite:hmt:msA.67v,"urn:cite:hmt:vaimg.VA067VN-0569@0.4725,0.2292,0.4535,0.4823",
"urn:cite:hmt:textblock.113",urn:cite:hmt:msA.68r,"urn:cite:hmt:vaimg.VA068RN-0069@0.1602,0.2126,0.4615,0.4823",
"urn:cite:hmt:textblock.114",urn:cite:hmt:msA.68v,"urn:cite:hmt:vaimg.VA068VN-0570@0.4705,0.2134,0.4384,0.4718",
"urn:cite:hmt:textblock.116",urn:cite:hmt:msA.69v,"urn:cite:hmt:vaimg.VA069VN-0571@0.4805,0.2337,0.3704,0.4328",Replacement page
"urn:cite:hmt:textblock.117",urn:cite:hmt:msA.70r,"urn:cite:hmt:vaimg.VA070RN-0071@0.1662,0.2322,0.3774,0.4463",Replacement page
"urn:cite:hmt:textblock.118",urn:cite:hmt:msA.70v,"urn:cite:hmt:vaimg.VA070VN-0572@0.4905,0.2299,0.3684,0.4433",Replacement page
"urn:cite:hmt:textblock.119",urn:cite:hmt:msA.71r,"urn:cite:hmt:vaimg.VA071RN-0072@0.1672,0.2246,0.3934,0.45",Replacement page
"urn:cite:hmt:textblock.120",urn:cite:hmt:msA.71v,"urn:cite:hmt:vaimg.VA071VN-0573@0.4915,0.2307,0.3894,0.4538",Replacement page
"urn:cite:hmt:textblock.121",urn:cite:hmt:msA.72r,"urn:cite:hmt:vaimg.VA072RN-0073@0.1632,0.2284,0.3884,0.441",Replacement page
"urn:cite:hmt:textblock.122",urn:cite:hmt:msA.72v,"urn:cite:hmt:vaimg.VA072VN-0574@0.4945,0.2337,0.3574,0.4403",Replacement page
"urn:cite:hmt:textblock.123",urn:cite:hmt:msA.73r,"urn:cite:hmt:vaimg.VA073RN-0074@0.1602,0.2276,0.3924,0.4568",Replacement page
"urn:cite:hmt:textblock.124",urn:cite:hmt:msA.73v,"urn:cite:hmt:vaimg.VA073VN-0575@0.4955,0.2382,0.3674,0.4388",Replacement page
"urn:cite:hmt:textblock.125",urn:cite:hmt:msA.74r,"urn:cite:hmt:vaimg.VA074RN-0075@0.1592,0.2209,0.3994,0.4545",Replacement page
"urn:cite:hmt:textblock.126",urn:cite:hmt:msA.74v,"urn:cite:hmt:vaimg.VA074VN-0576@0.4965,0.2359,0.3664,0.4005",Replacement page
"urn:cite:hmt:textblock.127",urn:cite:hmt:msA.75r,"urn:cite:hmt:vaimg.VA075RN-0076@0.1622,0.2006,0.4865,0.4981",
"urn:cite:hmt:textblock.128",urn:cite:hmt:msA.75v,"urn:cite:hmt:vaimg.VA075VN-0577@0.4675,0.2156,0.4615,0.4763",
"urn:cite:hmt:textblock.129",urn:cite:hmt:msA.76r,"urn:cite:hmt:vaimg.VA076RN-0077@0.1832,0.2044,0.4394,0.4801",
"urn:cite:hmt:textblock.130",urn:cite:hmt:msA.76v,"urn:cite:hmt:vaimg.VA076VN-0579@0.4374,0.1946,0.4424,0.4884",
"urn:cite:hmt:textblock.131",urn:cite:hmt:msA.77r,"urn:cite:hmt:vaimg.VA077RN-0078@0.1892,0.2096,0.4555,0.4869",
"urn:cite:hmt:textblock.132",urn:cite:hmt:msA.77v,"urn:cite:hmt:vaimg.VA077VN-0580@0.4304,0.2156,0.4444,0.4914",
"urn:cite:hmt:textblock.133",urn:cite:hmt:msA.78r,"urn:cite:hmt:vaimg.VA078RN-0079@0.1912,0.2051,0.4545,0.5034",
"urn:cite:hmt:textblock.134",urn:cite:hmt:msA.78v,"urn:cite:hmt:vaimg.VA078VN-0581@0.4224,0.2051,0.4605,0.4816",
"urn:cite:hmt:textblock.135",urn:cite:hmt:msA.79v,"urn:cite:hmt:vaimg.VA079RN-0080@0.1672,0.2126,0.4494,0.4876",
"urn:cite:hmt:textblock.136",urn:cite:hmt:msA.79v,"urn:cite:hmt:vaimg.VA079VN-0582@0.4394,0.2149,0.4454,0.4808",
"urn:cite:hmt:textblock.137",urn:cite:hmt:msA.80r,"urn:cite:hmt:vaimg.VA080RN-0081@0.1562,0.2156,0.4715,0.4313",
"urn:cite:hmt:textblock.138",urn:cite:hmt:msA.80v,"urn:cite:hmt:vaimg.VA080VN-0583@0.4364,0.2164,0.4394,0.4741",Book zeta begins
"urn:cite:hmt:textblock.139",urn:cite:hmt:msA.81r,"urn:cite:hmt:vaimg.VA081RN-0082@0.1431,0.2089,0.4675,0.5034",
"urn:cite:hmt:textblock.140",urn:cite:hmt:msA.81v,"urn:cite:hmt:vaimg.VA081VN-0584@0.4374,0.2089,0.4555,0.4899",
"urn:cite:hmt:textblock.141",urn:cite:hmt:msA.82r,"urn:cite:hmt:vaimg.VA082RN-0083@0.1652,0.2224,0.4585,0.4966",
"urn:cite:hmt:textblock.142",urn:cite:hmt:msA.82v,"urn:cite:hmt:vaimg.VA082VN-0585@0.4224,0.2164,0.4725,0.4884",
"urn:cite:hmt:textblock.143",urn:cite:hmt:msA.83r,"urn:cite:hmt:vaimg.VA083RN-0084@0.1562,0.2276,0.4174,0.4921",
"urn:cite:hmt:textblock.144",urn:cite:hmt:msA.83v,"urn:cite:hmt:vaimg.VA083VN-0586@0.4545,0.2216,0.4334,0.4921",
"urn:cite:hmt:textblock.145",urn:cite:hmt:msA.84r,"urn:cite:hmt:vaimg.VA084RN-0085@0.1602,0.2337,0.4384,0.4936",
"urn:cite:hmt:textblock.146",urn:cite:hmt:msA.84v,"urn:cite:hmt:vaimg.VA084VN-0587@0.4474,0.2344,0.4515,0.4838",
"urn:cite:hmt:textblock.147",urn:cite:hmt:msA.85r,"urn:cite:hmt:vaimg.VA085RN-0086@0.1491,0.2337,0.4715,0.4869",
"urn:cite:hmt:textblock.148",urn:cite:hmt:msA.85v,"urn:cite:hmt:vaimg.VA085VN-0588@0.4434,0.2299,0.4324,0.4808",
"urn:cite:hmt:textblock.149",urn:cite:hmt:msA.86r,"urn:cite:hmt:vaimg.VA086RN-0087@0.1642,0.2344,0.4424,0.5004",
"urn:cite:hmt:textblock.150",urn:cite:hmt:msA.86v,"urn:cite:hmt:vaimg.VA086VN-0589@0.4334,0.2314,0.4474,0.4778",
"urn:cite:hmt:textblock.151",urn:cite:hmt:msA.87r,"urn:cite:hmt:vaimg.VA087RN-0088@0.1672,0.2374,0.4765,0.4884",
"urn:cite:hmt:textblock.152",urn:cite:hmt:msA.87v,"urn:cite:hmt:vaimg.VA087VN-0590@0.4314,0.2269,0.4535,0.4884",
"urn:cite:hmt:textblock.153",urn:cite:hmt:msA.88r,"urn:cite:hmt:vaimg.VA088RN-0089@0.1672,0.2322,0.4525,0.4876",
"urn:cite:hmt:textblock.154",urn:cite:hmt:msA.88v,"urn:cite:hmt:vaimg.VA088VN-0591@0.4314,0.2276,0.4675,0.4823",
"urn:cite:hmt:textblock.155",urn:cite:hmt:msA.89r,"urn:cite:hmt:vaimg.VA089RN-0090@0.1572,0.2314,0.4505,0.4869",
"urn:cite:hmt:textblock.156",urn:cite:hmt:msA.89v,"urn:cite:hmt:vaimg.VA089VN-0592@0.4515,0.2284,0.4284,0.4853",
"urn:cite:hmt:textblock.157",urn:cite:hmt:msA.90r,"urn:cite:hmt:vaimg.VA090RN-0091@0.1572,0.2359,0.4505,0.4838",
"urn:cite:hmt:textblock.158",urn:cite:hmt:msA.90v,"urn:cite:hmt:vaimg.VA090VN-0593@0.4434,0.2307,0.4735,0.4861",
"urn:cite:hmt:textblock.159",urn:cite:hmt:msA.91r,"urn:cite:hmt:vaimg.VA091RN-0263@0.06,0.1991,0.564,0.5139",Book eta begins
"urn:cite:hmt:textblock.160",urn:cite:hmt:msA.91v,"urn:cite:hmt:vaimg.VA091VN-0594@0.438,0.2201,0.464,0.4959",
"urn:cite:hmt:textblock.161",urn:cite:hmt:msA.92r,"urn:cite:hmt:vaimg.VA092RN-0264@0.152,0.2134,0.459,0.5019",
"urn:cite:hmt:textblock.162",urn:cite:hmt:msA.92v,"urn:cite:hmt:vaimg.VA092VN-0595@0.431,0.2292,0.469,0.4944",
"urn:cite:hmt:textblock.163",urn:cite:hmt:msA.93r,"urn:cite:hmt:vaimg.VA093RN-0265@0.163,0.2149,0.457,0.4929",
"urn:cite:hmt:textblock.164",urn:cite:hmt:msA.93v,"urn:cite:hmt:vaimg.VA093VN-0596@0.464,0.2284,0.425,0.4884",
"urn:cite:hmt:textblock.165",urn:cite:hmt:msA.94r,"urn:cite:hmt:vaimg.VA094RN-0266@0.165,0.2164,0.456,0.4944",
"urn:cite:hmt:textblock.166",urn:cite:hmt:msA.94v,"urn:cite:hmt:vaimg.VA094VN-0597@0.437,0.2224,0.464,0.4966",
"urn:cite:hmt:textblock.167",urn:cite:hmt:msA.95r,"urn:cite:hmt:vaimg.VA095RN-0267@0.172,0.2021,0.475,0.4944",
"urn:cite:hmt:textblock.168",urn:cite:hmt:msA.95v,"urn:cite:hmt:vaimg.VA095VN-0598@0.452,0.2089,0.444,0.4951",
"urn:cite:hmt:textblock.169",urn:cite:hmt:msA.96r,"urn:cite:hmt:vaimg.VA096RN-0268@0.166,0.2036,0.463,0.5011",
"urn:cite:hmt:textblock.170",urn:cite:hmt:msA.96v,"urn:cite:hmt:vaimg.VA096VN-0599@0.442,0.2149,0.458,0.4974",
"urn:cite:hmt:textblock.171",urn:cite:hmt:msA.97r,"urn:cite:hmt:vaimg.VA097RN-0269@0.166,0.2104,0.455,0.5079",
"urn:cite:hmt:textblock.172",urn:cite:hmt:msA.97v,"urn:cite:hmt:vaimg.VA097VN-0600@0.46,0.2307,0.447,0.4906",
"urn:cite:hmt:textblock.173",urn:cite:hmt:msA.98r,"urn:cite:hmt:vaimg.VA098RN-0270@0.151,0.2126,0.478,0.4921",
"urn:cite:hmt:textblock.174",urn:cite:hmt:msA.98v,"urn:cite:hmt:vaimg.VA098VN-0601@0.448,0.2276,0.446,0.4808",
"urn:cite:hmt:textblock.175",urn:cite:hmt:msA.99r,"urn:cite:hmt:vaimg.VA099RN-0271@0.173,0.2194,0.465,0.4906",
"urn:cite:hmt:textblock.176",urn:cite:hmt:msA.99v,"urn:cite:hmt:vaimg.VA099VN-0602@0.441,0.2352,0.459,0.4846",
"urn:cite:hmt:textblock.177",urn:cite:hmt:msA.100r,"urn:cite:hmt:vaimg.VA100RN-0272@0.178,0.2194,0.446,0.4944",
